%time,field.data
1520088116301793855,1
1520088116751953765,1
1520088120551862413,1
1520088122103161578,1
1520088123101150982,1
1520088125103562682,1
1520088126855044747,1
1520088130504133537,1
1520088134952761875,1
1520088137252729570,1
1520088140701872235,1
1520088143552844373,1
1520088144201550884,1
1520088146001060785,1
1520088148251530331,1
1520088149752303801,1
1520088151104119866,1
1520088151952007203,1
1520088155802504749,1
1520088157702577110,1
1520088158501550560,1
1520088161451637437,1
1520088163802503167,1
1520088165003887840,1
1520088167201706991,1
1520088171501268077,1
1520088172753137967,1
1520088175655354742,1
1520088177055336092,1
1520088178102058600,1
1520088184405479836,1
1520088185505563222,1
1520088187655151171,1
1520088188205333764,1
1520088190509374668,1
1520088193154307161,1
1520088193354075258,1
1520088193906140357,1
1520088203008041232,1
1520088203052582589,1
1520088205157348276,1
1520088206651922143,1
1520088209052113731,1
1520088211705826469,1
1520088213803242006,1
1520088213902279266,1
1520088215303980283,1
1520088217756709384,1
1520088220652119624,1
1520088222051792497,1
1520088222451078257,1
1520088224705797277,1
1520088227753021558,1
1520088229204058344,1
1520088230751340269,1
1520088234752222177,1
1520088237604278133,1
1520088242254385368,1
1520088243904187347,1
1520088247154924093,1
1520088247202949591,1
1520088249701573130,1
1520088251004805184,1
1520088253454191191,1
1520088256751778861,1
1520088263255768624,1
1520088265602977870,1
1520088268457895985,1
1520088272805259170,1
1520088275952866503,1
1520088278404949029,1
1520088286302953569,1
1520088286901371929,1
1520088287453785646,1
1520088288253115236,1
1520088290704487140,1
1520088295754295473,1
1520088298055734896,1
1520088299305371293,1
1520088302008854256,1
1520088306256935097,1
1520088309107897300,1
1520088309153526497,1
1520088311559439549,1
1520088313655427988,1
1520088316853819018,1
1520088322206352402,1
1520088322252483892,1
1520088324355910090,1
1520088328357697234,1
1520088330755403383,1
1520088331256832000,1
1520088331806082848,1
1520088333154136211,1
1520088339551322165,1
1520088343104227628,1
1520088344151718175,1
1520088344601813257,1
1520088346451796536,1
1520088348305636532,1
1520088352406890968,1
1520088355503174662,1
1520088356656447735,1
1520088359251983503,1
1520088361605026729,1
1520088363353426034,1
1520088366851786158,1
1520088368200869311,1
1520088369953141116,1
1520088372902598636,1
1520088375304648821,1
1520088376001205673,1
1520088376101446139,1
1520088377003805801,1
1520088378203608376,1
1520088379254329779,1
1520088379954525939,1
1520088383705867501,1
1520088386854880270,1
1520088389205673330,1
1520088390704657611,1
1520088391755270167,1
1520088393554292711,1
1520088396752778793,1
1520088398106905328,1
1520088399404616469,1
1520088402902208047,1
1520088404656290259,1
1520088410057258563,1
1520088412751352146,1
1520088414103874953,1
1520088414354779963,1
1520088419503418973,1
1520088421852288840,1
1520088424155606962,1
1520088426506924564,1
1520088427903736561,1
1520088431607621973,1
1520088431951359344,1
1520088432153220913,1
1520088433051375768,1
1520088435455280758,1
1520088437402636310,1
1520088439052831556,1
1520088440453169767,1
1520088442004099299,1
1520088443404900217,1
1520088445804097201,1
1520088447355819703,1
1520088450203987629,1
1520088451451225396,1
1520088452154506381,1
1520088454552538260,1
1520088456856510617,1
1520088459404541475,1
1520088460755362648,1
1520088462852975891,1
1520088464201047951,1
1520088465105670833,1
1520088468756514445,1
1520088471005210430,1
1520088471755589120,1
1520088471803849138,1
1520088472304035552,1
1520088474355782609,1
1520088474401949025,1
1520088481406715781,1
1520088484106089089,1
1520088487606529680,1
1520088488606756893,1
1520088489404572727,1
1520088489505216423,1
1520088490857660835,1
1520088490906098281,1
1520088492504909987,1
1520088493604557135,1
1520088495556699410,1
1520088497556278121,1
1520088499005890785,1
1520088502806281091,1
1520088504609030475,1
1520088507407899508,1
1520088509455383119,1
1520088514756381307,1
1520088516204506839,1
1520088517353872996,1
1520088518405358968,1
1520088519555905495,1
1520088521155380112,1
1520088522553918805,1
1520088524155039071,1
1520088527857598751,1
1520088532456020568,1
1520088532756259027,1
1520088534356322763,1
1520088536958631764,1
1520088540958612426,1
1520088543055055274,1
1520088546556920477,1
1520088553852119548,1
1520088553901728871,1
1520088556454434942,1
1520088560106535535,1
1520088562655944254,1
1520088564104104739,1
1520088568603335105,1
1520088572054581200,1
1520088572551269732,1
1520088576806320556,1
1520088576854056513,1
1520088578903610996,1
1520088580851383974,1
1520088582156589001,1
1520088584203990502,1
1520088587802186197,1
1520088588655035145,1
1520088591405132649,1
1520088592204388841,1
1520088594552828776,1
1520088597501536268,1
1520088599002044217,1
1520088600301701382,1
1520088601604779028,1
1520088601906067306,1
1520088604652154346,1
1520088604700825823,1
1520088611101576790,1
1520088614955749130,1
1520088616302203752,1
1520088618059601402,1
1520088619203703590,1
1520088624202142778,1
1520088624905146290,1
1520088627006778216,1
1520088629204179366,1
1520088630704449080,1
1520088633201961922,1
1520088636256186868,1
1520088636801530785,1
1520088639002018355,1
1520088642405612403,1
1520088643903184600,1
1520088645255734407,1
1520088646004782420,1
1520088647854159839,1
1520088648052324130,1
1520088648101182270,1
1520088650803556871,1
1520088651252908591,1
1520088653103580092,1
1520088654203625862,1
1520088656853179695,1
1520088660557338216,1
1520088661755974216,1
1520088662702927276,1
1520088665405337637,1
1520088666054733133,1
1520088667152762304,1
1520088670103083898,1
1520088672353481253,1
1520088674055693713,1
1520088675756989167,1
1520088677706173853,1
1520088680306644550,1
1520088680606607119,1
1520088682005204035,1
1520088687301716903,1
1520088688252032719,1
1520088692801055286,1
1520088696555839766,1
1520088696704812960,1
