%time,field.data
1520088116301895930,1
1520088116752068034,1
1520088120552007629,1
1520088122103436978,1
1520088123101465100,1
1520088125103930716,1
1520088126855163089,1
1520088130504169691,1
1520088134954025042,1
1520088137253317003,1
1520088138652378167,1
1520088140701978202,1
1520088143552525612,1
1520088144201556579,1
1520088146001068232,1
1520088148251979347,1
1520088149752347692,1
1520088151104136609,1
1520088151951791734,1
1520088155802135586,1
1520088157702620654,1
1520088158501612300,1
1520088161452159233,1
1520088163802522338,1
1520088165004360607,1
1520088167201906307,1
1520088171501587198,1
1520088172753207818,1
1520088175654644389,1
1520088177055872082,1
1520088178102053119,1
1520088179702583653,1
1520088184405654347,1
1520088185506443136,1
1520088187655190354,1
1520088188205544897,1
1520088190508775153,1
1520088193155450548,1
1520088193354390419,1
1520088193905887544,1
1520088197006831582,1
1520088203008487313,1
1520088203052641448,1
1520088205156861668,1
1520088206652196293,1
1520088208703590967,1
1520088209051977354,1
1520088211706398378,1
1520088213803723444,1
1520088213902363153,1
1520088215304763217,1
1520088217756830238,1
1520088220652001642,1
1520088222051890791,1
1520088222451073113,1
1520088224706049175,1
1520088227753211524,1
1520088229204329577,1
1520088230751357539,1
1520088234752434526,1
1520088237603944779,1
1520088242254400446,1
1520088243904263640,1
1520088247155014841,1
1520088247203072164,1
1520088249701652433,1
1520088251003648532,1
1520088253455267568,1
1520088256751623860,1
1520088263255725051,1
1520088265603035761,1
1520088268458493218,1
1520088270754824100,1
1520088272805257043,1
1520088275952920454,1
1520088278405086816,1
1520088280702970133,1
1520088282801889426,1
1520088284902739535,1
1520088286304101398,1
1520088286901577692,1
1520088287454310062,1
1520088288252745087,1
1520088290704578611,1
1520088295755167695,1
1520088298056016605,1
1520088299305436661,1
1520088302008930437,1
1520088306257137812,1
1520088309107729886,1
1520088309153645799,1
1520088311560456315,1
1520088313155090321,1
1520088313655257889,1
1520088316853907889,1
1520088322206214724,1
1520088322252712914,1
1520088324356271816,1
1520088328357441760,1
1520088330755441174,1
1520088331256274426,1
1520088331807188634,1
1520088333155004241,1
1520088339551492150,1
1520088343104753752,1
1520088344151477272,1
1520088344602134733,1
1520088346451890887,1
1520088348305834651,1
1520088352406918037,1
1520088355504454225,1
1520088356656867288,1
1520088359252176870,1
1520088361605563321,1
1520088363354297533,1
1520088365303784129,1
1520088366851542798,1
1520088368200878857,1
1520088369953183021,1
1520088372902613071,1
1520088375304805186,1
1520088376001204640,1
1520088376101354609,1
1520088377004032628,1
1520088378203843657,1
1520088379255371178,1
1520088379954940535,1
1520088383706186310,1
1520088383752332454,1
1520088386855746438,1
1520088389206338361,1
1520088390704292619,1
1520088391755615037,1
1520088393554702431,1
1520088396753335613,1
1520088398108369767,1
1520088399404993659,1
1520088402902275329,1
1520088404655676763,1
1520088406552690240,1
1520088410057600684,1
1520088412751281205,1
1520088414104497990,1
1520088414354823157,1
1520088418753833029,1
1520088419504319799,1
1520088421853505004,1
1520088424155745341,1
1520088426507937579,1
1520088427904330423,1
1520088429455723981,1
1520088431607852538,1
1520088431951387951,1
1520088432153281875,1
1520088433051369663,1
1520088435454918541,1
1520088437402650713,1
1520088439053559431,1
1520088440453239266,1
1520088442004162549,1
1520088443404325958,1
1520088445804152931,1
1520088447355977853,1
1520088450206147191,1
1520088451451245057,1
1520088452155535616,1
1520088454504719325,1
1520088454552677342,1
1520088456856970095,1
1520088459406632849,1
1520088460755688219,1
1520088462853021080,1
1520088464201056548,1
1520088465105927680,1
1520088468757323022,1
1520088471005585816,1
1520088471756420484,1
1520088471803637515,1
1520088472304095391,1
1520088474355566179,1
1520088474402032386,1
1520088481408193189,1
1520088484104968363,1
1520088485804631885,1
1520088487606870540,1
1520088488606971775,1
1520088489404797308,1
1520088489504992022,1
1520088490858066489,1
1520088490905834423,1
1520088492505454155,1
1520088493604999999,1
1520088495556826685,1
1520088497556505547,1
1520088499006621846,1
1520088501106548370,1
1520088502806175790,1
1520088504609096916,1
1520088507409000077,1
1520088509456447241,1
1520088512154629326,1
1520088514756648087,1
1520088516204752417,1
1520088517354883360,1
1520088518406293240,1
1520088519556449692,1
1520088521155881288,1
1520088522553952684,1
1520088524154493554,1
1520088527857633019,1
1520088532456458324,1
1520088532756526813,1
1520088534356447108,1
1520088536958661953,1
1520088540958960214,1
1520088543055133792,1
1520088546557358662,1
1520088552205165018,1
1520088553852179270,1
1520088553901746635,1
1520088556456622319,1
1520088560108162990,1
1520088562656844916,1
1520088564104171085,1
1520088568603368548,1
1520088572054590976,1
1520088572551089158,1
1520088576807046012,1
1520088576853751120,1
1520088578903776498,1
1520088580851806195,1
1520088582157246451,1
1520088584204104455,1
1520088585903292477,1
1520088587802363203,1
1520088588655180986,1
1520088591405268437,1
1520088592204854173,1
1520088594552868644,1
1520088597501553306,1
1520088599002120952,1
1520088600301809240,1
1520088601604831756,1
1520088601906745313,1
1520088604652052538,1
1520088604700858481,1
1520088611101678627,1
1520088614956177513,1
1520088616303316634,1
1520088618059670734,1
1520088619204041857,1
1520088624202136502,1
1520088624905625395,1
1520088627007981563,1
1520088629204219133,1
1520088630704572570,1
1520088633202022784,1
1520088636256312107,1
1520088636802067146,1
1520088639002340856,1
1520088642405835564,1
1520088643903216036,1
1520088645255899666,1
1520088646005875184,1
1520088647854798939,1
1520088648052432307,1
1520088648101169436,1
1520088650803847239,1
1520088651253227078,1
1520088653103606242,1
1520088654202843861,1
1520088656853243901,1
1520088660556461552,1
1520088661755420612,1
1520088662703202133,1
1520088665405875893,1
1520088666054868255,1
1520088667152804560,1
1520088670103357369,1
1520088672354582023,1
1520088674056177944,1
1520088674102090001,1
1520088675757290353,1
1520088677706177126,1
1520088680306210837,1
1520088680607662485,1
1520088682004756606,1
1520088687301778558,1
1520088688252048864,1
1520088692801071736,1
1520088695956488309,1
1520088696556383354,1
1520088696704988987,1
1520088697255278788,1
1520088703708830080,1
1520088705507541634,1
1520088707154584481,1
1520088709606267475,1
1520088714405436975,1
1520088717305839783,1
1520088717351955606,1
1520088719258260851,1
1520088719304774748,1
1520088720405665484,1
1520088722451204527,1
1520088724552702024,1
1520088726552880038,1
1520088727652769245,1
1520088730704246071,1
1520088737757911391,1
1520088740503497346,1
1520088741201149115,1
1520088742152759087,1
1520088746305938200,1
1520088748452518450,1
1520088751752605572,1
1520088754405675855,1
1520088756501785718,1
1520088758005051530,1
1520088760205431933,1
1520088761052652351,1
1520088762654975062,1
1520088766252825104,1
1520088766702085289,1
1520088768755442802,1
1520088769203825359,1
1520088772302130216,1
1520088776753134078,1
1520088778002266529,1
1520088778755021034,1
1520088784051513869,1
1520088785251784458,1
1520088786452720223,1
1520088788705774110,1
1520088790553246741,1
1520088793353082396,1
1520088793852863288,1
1520088797152077033,1
1520088800056082849,1
1520088801204474268,1
1520088804205704347,1
1520088807404788910,1
1520088808303015641,1
1520088810453453262,1
1520088812651918937,1
1520088814004741313,1
1520088814051789019,1
1520088818952887347,1
1520088819852088874,1
1520088823258792657,1
1520088825404745793,1
1520088826651658829,1
1520088829304530971,1
1520088832902075011,1
1520088832951934800,1
1520088834801852177,1
1520088836701957714,1
1520088836751006840,1
1520088837453125256,1
1520088839152644946,1
1520088840952270602,1
1520088843005004807,1
1520088845856656530,1
1520088846602040402,1
1520088847752488871,1
1520088852157461842,1
1520088854456598097,1
1520088856053848983,1
1520088858003988046,1
1520088859656967574,1
1520088861657058413,1
1520088861701135302,1
1520088862954113740,1
1520088864551221206,1
1520088866853131161,1
1520088868702468817,1
1520088871257687279,1
1520088874252379797,1
1520088877054310853,1
1520088877551555199,1
1520088880905608411,1
1520088881301274578,1
1520088884901699027,1
1520088886953951678,1
1520088888201953391,1
1520088891554846629,1
1520088892650806493,1
1520088893401478237,1
1520088896501485885,1
1520088897201933913,1
1520088900403151693,1
1520088901302428396,1
1520088903702555278,1
1520088906603382417,1
1520088906651600261,1
1520088908103994977,1
1520088909801784467,1
1520088910201392166,1
1520088911152258870,1
1520088911251934315,1
1520088913003505092,1
1520088916953424261,1
1520088918801974589,1
1520088919902159932,1
1520088925954335489,1
1520088932752029523,1
1520088935452549500,1
1520088936151325826,1
1520088938903053518,1
1520088938951290581,1
1520088941953627135,1
1520088945002292619,1
1520088947601885826,1
1520088948852344665,1
1520088949902135734,1
1520088952805356220,1
1520088954151527037,1
1520088954852450596,1
1520088957053874056,1
1520088957101854577,1
1520088957903230701,1
1520088961152910319,1
1520088961701152796,1
1520088966107162179,1
1520088967151480893,1
1520088967902639818,1
1520088970454950705,1
1520088973553050573,1
1520088974903193277,1
1520088979857086240,1
1520088980451652400,1
1520088984553434197,1
1520088985053118129,1
1520088985101212914,1
1520088989551805723,1
1520088990201903151,1
1520088992553025969,1
1520088994404966778,1
1520088996052434537,1
1520088998253102294,1
1520089003009828575,1
1520089007603818404,1
1520089009454213202,1
1520089012203976786,1
1520089014204502930,1
1520089018551394254,1
1520089020801706254,1
1520089021655758525,1
1520089024205365995,1
1520089026456250246,1
1520089029256100003,1
1520089030952398815,1
1520089032154756123,1
1520089032502987299,1
1520089033001777433,1
1520089035803695834,1
1520089035851238656,1
1520089037307115635,1
1520089038003650423,1
1520089038703737669,1
1520089043103978038,1
1520089047203690410,1
1520089050107235660,1
1520089050906350466,1
1520089053101695090,1
1520089055902290745,1
1520089059155218913,1
1520089062102019173,1
1520089063551289562,1
1520089064753894569,1
1520089066651668992,1
1520089066902208880,1
1520089069902324500,1
1520089071704537674,1
1520089073854901879,1
1520089075755180741,1
1520089079005941843,1
1520089081356931677,1
1520089087003456104,1
1520089089304330136,1
1520089090953207461,1
1520089093401943526,1
1520089094056101615,1
1520089094801273728,1
1520089095801063587,1
1520089098354487926,1
1520089100406132498,1
1520089103553897783,1
1520089105352142304,1
1520089106354508334,1
1520089109353398370,1
1520089111904444958,1
1520089114701720806,1
1520089115251000999,1
1520089115703881251,1
1520089117153335934,1
1520089119051892567,1
1520089121004858115,1
1520089123802507118,1
1520089123850986809,1
1520089129303751958,1
1520089131302160302,1
1520089133254147383,1
1520089134354953839,1
1520089136402821025,1
1520089136802779624,1
1520089139001394301,1
1520089139050957248,1
1520089140552106663,1
1520089142852591080,1
1520089145954378867,1
1520089147454910656,1
1520089147903635770,1
1520089149654728943,1
1520089150354065363,1
1520089151855201709,1
1520089152954543413,1
1520089153354962367,1
1520089154353479315,1
1520089155204912209,1
1520089156054199102,1
1520089158355938935,1
1520089160757740803,1
1520089165156944719,1
1520089165605222732,1
1520089165654583124,1
1520089167305598382,1
1520089169651956125,1
1520089172456445962,1
1520089173551489606,1
1520089174556210301,1
1520089176953964192,1
1520089180703296352,1
1520089183653535705,1
1520089186202592041,1
1520089187401206342,1
1520089190052022126,1
1520089191657300045,1
1520089194904376835,1
1520089196955894996,1
1520089199407625678,1
1520089202751999553,1
1520089203551409410,1
1520089203601040974,1
1520089206956470504,1
1520089207004923520,1
1520089207601756626,1
1520089211207039411,1
1520089212253178940,1
1520089215707307474,1
1520089217951979114,1
1520089218202182662,1
1520089221452133698,1
1520089222152179883,1
1520089223501389780,1
1520089226757582728,1
1520089228155232613,1
1520089229906401612,1
1520089234657686616,1
1520089237456800305,1
1520089241906487649,1
1520089246560407524,1
1520089247355322286,1
1520089250458610765,1
1520089253451674178,1
1520089257202653383,1
1520089259256071491,1
1520089260406518266,1
1520089264455706574,1
1520089264854835517,1
1520089266905699669,1
1520089267958091361,1
1520089269405057091,1
1520089271401949581,1
1520089272301781476,1
1520089277107194634,1
1520089278651627307,1
1520089279051806150,1
1520089281356485150,1
1520089282006434888,1
1520089283956796587,1
1520089284751599699,1
1520089286456117579,1
1520089288656907306,1
1520089289353661405,1
1520089291405693479,1
1520089293303048112,1
1520089293955531125,1
1520089298452263134,1
1520089301708728413,1
1520089302903648393,1
1520089303554330325,1
1520089304953634554,1
1520089312051798751,1
1520089313201932777,1
1520089316501728249,1
1520089318755913951,1
1520089322505344893,1
1520089327601782993,1
1520089328652909492,1
1520089330004809610,1
1520089331005936279,1
1520089331655225868,1
1520089334359795084,1
1520089338103548946,1
1520089340002108542,1
1520089341152353555,1
1520089342551730866,1
1520089343251297256,1
1520089345256241396,1
1520089350752763645,1
1520089352455197352,1
1520089355957792962,1
1520089359101738788,1
1520089360702827074,1
1520089364005981576,1
1520089368058687656,1
1520089369502964011,1
1520089372305425001,1
1520089373853704642,1
1520089376357592592,1
1520089377403597291,1
1520089378257666963,1
1520089379701973656,1
1520089385607233648,1
1520089388601229072,1
1520089391855942211,1
1520089393656338029,1
1520089396955725840,1
1520089398901837042,1
1520089401403944360,1
1520089403951774916,1
1520089404302690334,1
1520089405401680967,1
1520089408003139585,1
1520089408451626364,1
1520089408652912921,1
1520089411855184419,1
1520089411902892744,1
1520089414705631753,1
1520089415054586460,1
1520089417807381722,1
1520089419705798395,1
1520089420704208807,1
1520089424106948497,1
1520089427804858061,1
1520089429252489066,1
1520089429652031069,1
1520089430004534209,1
1520089432104873388,1
1520089434402501790,1
1520089435552814919,1
1520089436305226974,1
1520089440553453983,1
1520089443303024145,1
1520089444351605377,1
1520089445353157544,1
1520089447051958873,1
1520089449553561835,1
1520089450408655556,1
1520089452601486600,1
1520089454301747765,1
1520089456102485390,1
1520089457501522011,1
1520089461353890596,1
1520089463505626076,1
1520089466204064051,1
1520089467152065775,1
1520089467953420123,1
1520089469452473207,1
1520089471801666855,1
1520089473652974301,1
1520089475802689914,1
1520089477001631586,1
1520089482003667980,1
1520089484853482197,1
1520089485352296131,1
1520089485401777083,1
1520089487852915635,1
1520089488751288675,1
1520089490803489948,1
1520089492503429745,1
1520089493403422648,1
1520089495903618586,1
1520089497002723693,1
1520089498355326142,1
1520089499951601587,1
1520089500052339827,1
1520089503802309668,1
1520089506203450829,1
1520089507251943436,1
1520089508352779390,1
1520089509702583993,1
1520089511904505297,1
1520089514955117292,1
1520089516752270028,1
1520089519556567902,1
1520089521902050962,1
1520089526403796149,1
1520089527604258674,1
1520089531705170339,1
1520089533654785093,1
1520089534403989621,1
1520089537205463935,1
1520089538853796605,1
1520089540753794234,1
1520089548653582086,1
1520089551455550253,1
1520089557256230850,1
1520089558554136094,1
1520089559003984915,1
1520089561005482688,1
1520089563355014308,1
1520089564053314142,1
1520089565805023207,1
1520089567954255208,1
1520089571154748749,1
1520089574005553536,1
1520089575603875884,1
1520089578504226721,1
1520089578904263160,1
1520089582006982367,1
1520089583802456799,1
1520089583951905078,1
1520089584454361363,1
1520089586855804157,1
1520089588255002638,1
1520089588303068390,1
1520089591956192120,1
1520089594406080185,1
1520089596403319839,1
1520089597403708463,1
1520089599154880150,1
1520089600352157559,1
1520089601404676276,1
1520089602554054042,1
1520089605052520785,1
1520089607202963550,1
1520089607752641961,1
1520089608605479481,1
1520089609551152789,1
1520089610105730278,1
1520089611104156922,1
1520089614854539730,1
1520089616053557857,1
1520089620201655661,1
1520089620854641252,1
1520089623754231788,1
1520089624452872970,1
1520089626453958140,1
1520089632301999246,1
1520089633351844198,1
1520089637155608006,1
1520089637906745008,1
1520089640303928594,1
1520089641956374491,1
1520089643402250551,1
1520089647007293264,1
1520089649355182858,1
1520089651055251791,1
1520089652155557299,1
1520089653656440369,1
1520089654755557175,1
1520089654904697103,1
1520089657154340070,1
1520089660503711844,1
1520089663352119180,1
1520089663401457429,1
1520089663954666427,1
1520089665505034594,1
1520089667905438489,1
1520089667952900979,1
1520089672703068315,1
1520089673953022059,1
1520089674002058134,1
1520089675853809889,1
1520089677756331262,1
1520089679153053500,1
1520089681605800717,1
1520089684906876158,1
1520089684951868187,1
1520089687753483719,1
1520089689354598414,1
1520089691054157574,1
1520089691704791119,1
1520089696802721855,1
1520089701106257093,1
1520089703806324426,1
1520089705504021559,1
1520089707157116461,1
1520089708503659687,1
1520089709454757469,1
1520089710403378929,1
1520089711853817785,1
1520089716104858540,1
1520089718553403468,1
1520089720653546702,1
1520089720701267511,1
1520089723104119405,1
1520089724002875193,1
1520089726205395459,1
1520089726906252827,1
1520089727753811384,1
1520089730354760197,1
1520089733653300928,1
1520089733751245804,1
1520089734952647980,1
1520089736352185628,1
1520089738302524635,1
1520089739502950783,1
1520089742507094464,1
1520089743204379991,1
1520089746152345114,1
1520089746201156141,1
1520089748954597867,1
1520089753303388494,1
1520089754904893514,1
1520089756153507690,1
1520089758454180538,1
1520089762354146076,1
1520089764251649421,1
1520089764803935043,1
1520089766606492387,1
1520089769151663534,1
1520089771202044408,1
1520089773402625201,1
1520089775255283309,1
1520089777054575806,1
1520089780103095131,1
1520089783102090724,1
1520089784555747315,1
1520089785202519367,1
1520089787952383959,1
1520089790153811649,1
1520089791105610688,1
1520089791905156798,1
1520089792805715770,1
1520089792852376496,1
1520089796003358464,1
1520089799853176975,1
1520089799903428478,1
1520089801054003893,1
1520089802954301628,1
1520089803002908915,1
1520089808355970886,1
1520089811608068333,1
1520089813853759710,1
1520089815505772353,1
1520089817453298340,1
1520089818955163807,1
1520089819703343374,1
1520089820403769335,1
1520089822354710622,1
1520089823703172928,1
1520089825506229669,1
1520089826255264762,1
1520089827055485667,1
1520089827404809033,1
1520089833856777700,1
1520089834505062157,1
1520089835403616872,1
1520089837154378387,1
1520089839505951375,1
1520089841303734459,1
1520089843656261889,1
1520089847901838057,1
1520089849203565264,1
1520089850705162633,1
1520089852703828789,1
1520089853103780154,1
1520089856705446635,1
1520089857353750241,1
1520089858702181077,1
1520089858901022910,1
1520089858950969296,1
1520089861804624174,1
1520089864003912302,1
1520089867154184098,1
1520089867201305823,1
1520089870950962473,1
1520089871001084384,1
1520089872401921571,1
1520089874352147480,1
1520089875904938697,1
1520089879954313624,1
1520089882054374316,1
1520089884101814784,1
1520089885302282614,1
1520089886756618095,1
1520089890052629596,1
1520089890802334201,1
1520089892652228792,1
1520089893904443632,1
1520089898755504081,1
1520089899155009256,1
1520089901006077211,1
1520089905105170272,1
1520089905202131676,1
1520089906002085746,1
1520089909204364088,1
1520089913154233482,1
1520089917702297302,1
1520089917951572597,1
1520089918351326731,1
1520089920202044152,1
1520089921052531468,1
1520089924152715911,1
1520089926752021924,1
1520089927803170871,1
1520089928202265699,1
1520089928503311008,1
1520089928751023349,1
1520089931703444275,1
1520089934454696357,1
1520089941703561472,1
1520089944504187073,1
1520089949054204439,1
1520089949704291573,1
1520089952451877000,1
1520089954054650977,1
1520089956055167192,1
1520089957601522638,1
1520089958704874708,1
1520089960204837036,1
1520089960252524787,1
1520089961353965616,1
1520089965903260880,1
1520089967251601741,1
1520089970652990356,1
1520089971501289780,1
1520089971550933265,1
1520089974305732044,1
1520089975852468163,1
1520089977006845036,1
1520089979406153529,1
1520089981551858732,1
1520089983502867282,1
1520089985301558504,1
1520089985351862222,1
1520089989157251666,1
1520089992008926717,1
1520089992854438118,1
1520089997205841004,1
1520090000457781252,1
1520090002402054542,1
1520090007107124664,1
1520090012855177463,1
1520090012901800327,1
1520090014052840440,1
1520090017804004731,1
1520090023753657934,1
1520090025351420350,1
1520090028752352748,1
1520090030053547079,1
1520090030902671435,1
1520090035452135330,1
1520090035501914743,1
1520090036801825970,1
1520090036952172768,1
1520090040601791412,1
1520090042403141429,1
1520090043303101136,1
1520090044251726184,1
1520090045252296549,1
1520090046201012218,1
1520090048501021632,1
1520090050505956801,1
1520090052851378149,1
1520090054605728538,1
1520090056856330419,1
1520090058353249181,1
1520090060006549975,1
1520090065156167379,1
1520090066602262626,1
1520090068105126671,1
1520090068455744562,1
1520090073705797409,1
1520090075958233458,1
1520090081156972545,1
1520090082301788380,1
1520090086359032516,1
1520090089204677157,1
1520090092704846147,1
