%time,field.data
1520088116301802369,2.0
1520088120551871760,3.0
1520088122103578410,4.0
1520088123101157032,3.0
1520088125103581734,2.0
1520088126855711852,3.0
1520088134952780862,3.0
1520088140701884810,5.0
1520088143552850819,3.0
1520088144201872430,4.0
1520088146001485303,4.0
1520088148252378996,3.0
1520088149752306344,3.0
1520088151104478613,2.0
1520088151952317412,4.0
1520088155802511341,2.0
1520088157702584957,0.0
1520088158501560110,2.0
1520088161452049170,2.0
1520088163802536679,1.0
1520088165004859228,3.0
1520088167201714680,2.0
1520088171501814137,3.0
1520088172753162018,3.0
1520088175655378925,2.0
1520088184405660932,3.0
1520088185506570605,4.0
1520088187655261006,3.0
1520088188206367124,2.0
1520088190509402026,4.0
1520088193154336098,4.0
1520088193354111203,3.0
1520088193906337288,4.0
1520088203008074046,4.0
1520088203052908371,3.0
1520088205157873745,3.0
1520088206651933548,4.0
1520088209052652518,2.0
1520088211705856341,3.0
1520088215304004706,3.0
1520088217757111601,3.0
1520088220652331095,5.0
1520088222051802748,3.0
1520088222451154063,3.0
1520088224705814988,3.0
1520088227753029223,2.0
1520088234752232835,1.0
1520088237604363707,2.0
1520088242255235806,4.0
1520088243904202157,4.0
1520088247154953765,2.0
1520088247204142567,2.0
1520088249701898457,5.0
1520088251004823553,3.0
1520088253454229799,3.0
1520088256751789880,4.0
1520088263255874850,1.0
1520088265603292720,4.0
1520088272806047681,3.0
1520088275953194224,4.0
1520088278404973033,2.0
1520088286303840699,4.0
1520088286901774979,4.0
1520088287453813023,2.0
1520088288253138903,3.0
1520088295755369212,4.0
1520088298055768305,3.0
1520088299306307089,3.0
1520088302008983456,2.0
1520088306256967932,3.0
1520088309108074582,2.0
1520088311559517031,4.0
1520088313655596257,3.0
1520088322206973239,3.0
1520088324355921834,3.0
1520088328357957386,3.0
1520088330756339564,4.0
1520088331256866779,3.0
1520088331806134437,4.0
1520088333154215430,4.0
1520088339551331127,3.0
1520088343104300688,3.0
1520088344152084671,3.0
1520088344601819412,3.0
1520088346451804727,1.0
1520088355503186343,4.0
1520088356656479077,3.0
1520088359251992846,4.0
1520088361605380611,4.0
1520088363353453296,2.0
1520088366851837036,3.0
1520088368200972919,5.0
1520088369953154234,3.0
1520088372902761414,4.0
1520088375305100888,0.0
1520088376001368791,4.0
1520088376101455064,3.0
1520088377003827513,3.0
1520088378203615543,3.0
1520088379254364112,2.0
1520088379954958006,5.0
1520088386855017010,4.0
1520088391755760126,3.0
1520088393554307173,2.0
1520088396752789850,4.0
1520088398106934114,4.0
1520088402902287878,3.0
1520088404656326992,2.0
1520088410057282374,2.0
1520088414103891500,2.0
1520088414355635638,4.0
1520088419503441569,3.0
1520088421852308407,4.0
1520088424155630565,3.0
1520088426508104467,3.0
1520088431607652785,3.0
1520088431951365275,3.0
1520088432154066237,4.0
1520088433051504903,4.0
1520088435456347378,4.0
1520088437402734498,4.0
1520088439052840969,1.0
1520088440454002997,4.0
1520088442004224476,3.0
1520088443405160745,2.0
1520088445804555464,5.0
1520088447355852866,4.0
1520088450206049281,3.0
1520088451451483963,3.0
1520088452154519665,1.0
1520088454552733593,4.0
1520088456856820248,5.0
1520088459404560352,4.0
1520088462852993194,1.0
1520088464201296702,2.0
1520088465106395821,1.0
1520088468756531058,2.0
1520088471756486002,3.0
1520088471804190804,3.0
1520088472304447983,4.0
1520088474356278797,4.0
1520088481406749628,5.0
1520088484106125832,3.0
1520088488607607629,2.0
1520088489405002102,3.0
1520088490858364545,3.0
1520088490907250732,1.0
1520088492504933862,3.0
1520088493604582914,4.0
1520088499006760496,5.0
1520088502807134536,3.0
1520088504609292544,4.0
1520088507408823096,4.0
1520088509455417072,3.0
1520088514756405093,3.0
1520088516205306023,3.0
1520088517353881373,3.0
1520088518405394699,2.0
1520088519555956591,3.0
1520088521155406991,4.0
1520088522554552315,4.0
1520088524155060457,2.0
1520088532456847085,2.0
1520088532756542965,2.0
1520088534356350462,3.0
1520088536959427032,3.0
1520088540958646318,2.0
1520088543055973487,5.0
1520088546556966089,1.0
1520088553852452176,3.0
1520088553901972507,3.0
1520088556454456626,1.0
1520088562656044132,4.0
1520088564104623219,3.0
1520088572054946542,3.0
1520088572551498971,3.0
1520088576806454073,5.0
1520088578903622508,3.0
1520088580851392752,3.0
1520088582156615717,2.0
1520088584204678970,3.0
1520088587802196595,3.0
1520088588655065188,1.0
1520088591405154154,3.0
1520088592204834191,3.0
1520088594553424983,5.0
1520088597501672565,2.0
1520088599002228331,3.0
1520088600301715975,2.0
1520088601605033820,3.0
1520088601906125879,2.0
1520088604652521948,4.0
1520088611101587532,3.0
1520088614955779428,2.0
1520088616303279085,4.0
1520088618059632198,4.0
1520088619203712565,4.0
1520088627006807537,3.0
1520088629204186422,3.0
1520088630704484184,4.0
1520088633202424366,2.0
1520088636256423469,2.0
1520088636801563276,2.0
1520088639002066497,3.0
1520088642406319569,3.0
1520088645256258429,3.0
1520088646004812140,3.0
1520088647854200667,3.0
1520088648052351787,3.0
1520088650803575537,3.0
1520088653104090366,3.0
1520088654203645934,2.0
1520088656853179690,3.0
1520088660557361042,2.0
1520088661756456730,4.0
1520088662702940666,3.0
1520088665405358341,2.0
1520088666055401507,4.0
1520088670103095917,1.0
1520088674056292720,4.0
1520088675757376380,4.0
1520088677706220920,3.0
1520088680306675515,4.0
1520088680606795751,1.0
1520088682005611248,3.0
1520088687301967607,1.0
1520088692801210202,2.0
1520088696555869938,3.0
1520088696705356993,2.0
1520088697254738361,3.0
1520088703708664041,4.0
1520088705506592118,2.0
1520088707154969091,1.0
1520088709606462236,2.0
1520088714404285790,4.0
1520088717305793631,1.0
1520088717352244370,4.0
1520088719257571980,4.0
1520088720406695041,3.0
1520088722451159309,4.0
1520088724552521511,2.0
1520088726552489783,1.0
1520088727653180293,3.0
1520088730703886306,3.0
1520088737756897481,2.0
1520088740502968728,2.0
1520088742152918416,2.0
1520088746305350451,3.0
1520088748452964057,1.0
1520088754405136195,3.0
1520088756501455781,3.0
1520088760205187499,3.0
1520088761052556909,1.0
1520088762656442883,3.0
1520088766702320053,3.0
1520088768755241203,4.0
1520088769203905821,3.0
1520088772302465797,3.0
1520088776754058977,4.0
1520088778002031119,2.0
1520088778754180657,3.0
1520088784051737797,4.0
1520088785251738247,4.0
1520088786452815619,2.0
1520088788705245601,2.0
1520088790553098038,3.0
1520088793853859614,3.0
1520088797152015217,3.0
1520088800057123940,3.0
1520088801204392315,3.0
1520088807404373053,3.0
1520088808302794995,3.0
1520088810452638359,4.0
1520088814004908271,3.0
1520088818952745263,4.0
1520088819851737863,2.0
1520088825405439876,3.0
1520088826652113707,4.0
1520088832902217930,5.0
