%time,field.data
1520088116301853479,1
1520088120551999330,1
1520088122103411829,1
1520088123101436307,1
1520088125103898744,1
1520088126856083217,1
1520088134953992089,1
1520088140701958412,1
1520088143552906784,1
1520088144201877586,1
1520088146001280382,1
1520088148252463160,1
1520088149752342516,1
1520088151104544763,1
1520088151952427074,1
1520088155802527056,1
1520088157702598090,1
1520088158501601179,1
1520088161452164974,1
1520088163802514571,1
1520088165004326085,1
1520088167201869940,1
1520088171501997594,1
1520088172753174161,1
1520088175655541028,1
1520088184405635003,1
1520088185506684387,1
1520088187655352112,1
1520088188205900676,1
1520088190509415204,1
1520088193155333621,1
1520088193354343245,1
1520088193906668208,1
1520088203008330622,1
1520088203052882083,1
1520088205157834600,1
1520088206652187813,1
1520088209052784998,1
1520088211706361267,1
1520088215304621272,1
1520088217756795780,1
1520088220652415598,1
1520088222051852397,1
1520088222451103383,1
1520088224705952388,1
1520088227753170696,1
1520088234752423061,1
1520088237604532206,1
1520088242255304357,1
1520088243904247411,1
1520088247154994907,1
1520088247204172832,1
1520088249701678888,1
1520088251004832316,1
1520088253455131504,1
1520088256751796482,1
1520088263256249258,1
1520088265603013809,1
1520088272806013359,1
1520088275952915533,1
1520088278404998732,1
1520088286303891723,1
1520088286901782041,1
1520088287454293128,1
1520088288253165774,1
1520088295755916325,1
1520088298055958478,1
1520088299306055664,1
1520088302008904116,1
1520088306257103369,1
1520088309108434267,1
1520088311560290172,1
1520088313655979709,1
1520088322207118465,1
1520088324356252280,1
1520088328358101799,1
1520088330756108806,1
1520088331257261984,1
1520088331806971792,1
1520088333154952366,1
1520088339551474337,1
1520088343104735022,1
1520088344151863011,1
1520088344602123467,1
1520088346451866466,1
1520088355504310217,1
1520088356656802279,1
1520088359252139410,1
1520088361605541279,1
1520088363354304314,1
1520088366851969131,1
1520088368200884304,1
1520088369953177377,1
1520088372902792945,1
1520088375305118319,1
1520088376001469183,1
1520088376101480122,1
1520088377004010237,1
1520088378203823378,1
1520088379255329138,1
1520088379954991032,1
1520088386855445832,1
1520088391755942934,1
1520088393554613622,1
1520088396753325833,1
1520088398108330513,1
1520088402902501544,1
1520088404656310991,1
1520088410057492337,1
1520088414104268690,1
1520088414354828332,1
1520088419504255032,1
1520088421852985126,1
1520088424155677581,1
1520088426508138905,1
1520088431607811592,1
1520088431951381767,1
1520088432154108974,1
1520088433051469772,1
1520088435455863417,1
1520088437402809875,1
1520088439053528920,1
1520088440453639078,1
1520088442004137760,1
1520088443405449125,1
1520088445804581045,1
1520088447355905377,1
1520088450206097374,1
1520088451451576945,1
1520088452155522078,1
1520088454552646731,1
1520088456856854912,1
1520088459406522935,1
1520088462853013825,1
1520088464201250394,1
1520088465106676622,1
1520088468756650869,1
1520088471756969167,1
1520088471804221751,1
1520088472304806081,1
1520088474355802923,1
1520088481407987563,1
1520088484106187339,1
1520088488607180421,1
1520088489405260623,1
1520088490858622579,1
1520088490906392753,1
1520088492505255417,1
1520088493604973338,1
1520088499006557371,1
1520088502806351379,1
1520088504609061460,1
1520088507408942396,1
1520088509456428223,1
1520088514756468833,1
1520088516205350272,1
1520088517354848521,1
1520088518406259609,1
1520088519556397329,1
1520088521155706931,1
1520088522554248966,1
1520088524155153136,1
1520088532456439996,1
1520088532756492716,1
1520088534356406932,1
1520088536958999939,1
1520088540958926808,1
1520088543056016713,1
1520088546557344258,1
1520088553852159870,1
1520088553901955742,1
1520088556456373896,1
1520088562656821150,1
1520088564104130806,1
1520088572054976512,1
1520088572551490013,1
1520088576807014004,1
1520088578903763780,1
