%time,field.data
1520088116301934466,1
1520088122103781564,1
1520088125103970627,1
1520088126856779832,1
1520088140702015526,1
1520088143553170977,1
1520088146001561820,1
1520088151105086969,1
1520088151952441056,1
1520088155802651598,1
1520088158501625127,1
1520088163802586342,1
1520088165005365972,1
1520088172753237369,1
1520088175655756787,1
1520088184406169043,1
1520088190509763749,1
1520088193354478632,1
1520088203008573718,1
1520088203053183941,1
1520088205158897489,1
1520088209052933575,1
1520088211706490930,1
1520088217757750408,1
1520088220652436783,1
1520088227753222003,1
1520088237604655972,1
1520088242255334617,1
1520088247155046449,1
1520088249701952504,1
1520088256751971108,1
1520088272806475707,1
1520088286304151789,1
1520088287454326717,1
1520088295756148226,1
1520088306257621092,1
1520088309108744695,1
1520088311560478013,1
1520088322207718678,1
1520088324356434592,1
1520088330757289046,1
1520088331257727018,1
1520088331807369779,1
1520088333155049169,1
1520088343104878638,1
1520088344152300137,1
1520088344602140060,1
1520088346452092722,1
1520088356656901161,1
1520088359252210801,1
1520088366852016226,1
1520088369953188151,1
1520088379255403818,1
1520088379956030473,1
1520088391757271811,1
1520088393554712827,1
1520088398108443033,1
1520088404656911727,1
1520088414104799393,1
1520088414355674730,1
1520088419504412677,1
1520088426508224047,1
1520088431607883002,1
1520088432154195558,1
1520088433051734424,1
1520088435457181513,1
1520088437403151381,1
1520088439053590628,1
1520088443405618099,1
1520088447356573892,1
1520088450206285375,1
1520088451451796199,1
1520088456857008015,1
1520088459406668098,1
1520088462853222737,1
1520088464201398613,1
1520088471757167401,1
1520088472304841772,1
1520088481408215660,1
1520088484106279588,1
1520088488608437405,1
1520088489405894496,1
1520088490907305020,1
1520088492505471835,1
1520088493605453627,1
1520088499007558754,1
1520088502807827192,1
1520088507409187046,1
1520088509457182978,1
1520088514756721826,1
1520088516205609257,1
1520088517354918892,1
1520088518406454295,1
1520088519556551082,1
1520088522554778961,1
1520088534356518049,1
1520088540958994923,1
1520088543056314427,1
1520088556456635810,1
1520088562657241921,1
