%time,field.data
1520088116301807683,1
1520088122103589796,1
1520088125103592850,1
1520088126855769122,1
1520088140701895826,1
1520088143552852923,1
1520088144202095537,1
1520088146001497394,1
1520088148252389223,1
1520088149752318444,1
1520088151105075499,1
1520088151952328066,1
1520088155802514290,1
1520088158501565508,1
1520088161452055320,1
1520088163802551334,1
1520088165004891700,1
1520088167201717462,1
1520088171501827723,1
1520088172753170068,1
1520088175655434206,1
1520088184406129884,1
1520088187655337313,1
1520088188206387149,1
1520088190509400995,1
1520088193354124673,1
1520088193906907741,1
1520088203008090649,1
1520088203053082960,1
1520088205158287880,1
1520088206651958427,1
1520088209052767689,1
1520088211705959183,1
1520088215304048065,1
1520088217757134166,1
1520088220652425979,1
1520088222051808491,1
1520088224705825778,1
1520088227753033360,1
1520088234752238733,1
1520088237604380128,1
1520088242255272640,1
1520088243904210694,1
1520088247154972557,1
1520088247204162521,1
1520088249701910328,1
1520088251005136364,1
1520088253454239025,1
1520088256751808706,1
1520088265603569164,1
1520088272806069065,1
1520088278404983622,1
1520088286303866721,1
1520088287453944937,1
1520088288253152724,1
1520088295755391995,1
1520088298056067806,1
1520088302009487384,1
1520088306256985838,1
1520088309108110222,1
1520088311559608614,1
1520088313655617335,1
1520088322207376940,1
1520088324355932579,1
1520088328358314252,1
1520088330756609962,1
1520088331257472626,1
1520088331806201224,1
1520088333154297522,1
1520088339551337349,1
1520088343104319541,1
1520088344152094787,1
1520088344601825852,1
1520088346451804576,1
1520088356656495457,1
1520088359252008396,1
1520088366851847393,1
1520088369953160513,1
1520088376001378340,1
1520088376101561379,1
1520088377003996990,1
1520088378203625640,1
1520088379254383786,1
1520088379954975397,1
1520088386855037321,1
1520088391757098619,1
1520088393554311726,1
1520088398107016260,1
1520088402902490485,1
1520088404656335571,1
1520088410057340167,1
1520088414103909772,1
1520088414355662046,1
1520088419503597770,1
1520088426508122308,1
1520088431607668407,1
1520088431951389797,1
1520088432154092793,1
1520088433051602780,1
1520088435456365768,1
1520088437402819267,1
1520088439052887138,1
1520088440454017061,1
1520088443405181665,1
1520088447355866934,1
1520088450206085518,1
1520088451451494268,1
1520088452154860373,1
1520088456856841999,1
1520088459404695845,1
1520088462853140350,1
