%time,field.data
1520088113651581226,4
1520088114102294315,2
1520088116301241111,5
1520088116751383201,2
1520088118302462628,4
1520088120551131836,5
1520088122101892410,4
1520088123101138377,3
1520088125102065577,5
1520088126854424542,4
1520088130502612192,8
1520088132400778648,5
1520088134951686053,6
1520088137252018055,6
1520088138651496784,4
1520088139851677578,3
1520088140701376195,3
1520088143552041123,7
1520088144150894664,2
1520088144201330278,0
1520088144950975091,2
1520088145951634033,3
1520088146000856515,0
1520088147600829184,4
1520088148251530321,2
1520088149752335035,4
1520088151102902748,4
1520088151951172170,3
1520088153401187188,4
1520088155801168430,6
1520088157701529947,5
1520088158501054997,3
1520088161451626424,7
1520088163801394601,6
1520088165003002140,3
1520088167200888561,5
1520088169952981334,6
1520088171501263064,4
1520088172752444346,3
1520088175455453153,6
1520088175654623902,1
1520088177054808335,4
1520088178101549566,3
1520088179701981111,4
1520088182904558736,7
1520088184404164481,4
1520088185506346407,3
1520088186702444113,3
1520088187604133523,3
1520088187653687426,1
1520088188204014575,2
1520088190505661193,6
1520088193152675319,6
1520088193354021927,1
1520088193904390667,2
1520088197004406798,7
1520088198704105784,4
1520088200054186318,4
1520088203005292994,7
1520088203052425787,0
1520088205155542290,5
1520088206651624305,4
1520088208701829999,5
1520088209051629652,2
1520088211702702025,6
1520088213803234010,5
1520088213901186544,1
1520088215302845277,4
1520088217755172431,6
1520088219051741609,4
1520088220151213938,3
1520088220651872664,2
1520088222051307573,4
1520088222450874316,2
1520088224703778593,5
1520088226152272566,4
1520088227752225253,4
1520088229203101395,4
1520088230750933138,4
1520088233401226740,6
1520088234751727285,4
1520088237602946155,7
1520088240252383495,6
1520088242254370454,5
1520088243902869914,4
1520088245501181458,4
1520088247152723734,4
1520088247202971600,0
1520088249701332657,6
1520088251002566814,4
1520088253454173810,6
1520088255952842238,6
1520088256751166487,3
1520088258304390514,4
1520088261855046363,8
1520088263254397988,4
1520088265553928655,6
1520088265603000335,0
1520088268455824330,7
1520088269703365558,3
1520088270753513751,3
1520088271852200091,3
1520088272804078763,3
1520088275951730840,7
1520088278401999440,6
1520088280402017893,5
1520088280701729839,2
1520088282801002469,5
1520088284901665152,5
1520088286302929177,4
1520088286901359952,2
1520088287452782292,2
1520088288252020278,3
1520088290702583670,6
1520088291854166975,3
1520088294603323764,6
1520088295753640727,3
1520088296954053164,3
1520088298053859271,3
1520088299304487085,3
1520088302005509595,6
1520088304055131918,5
1520088306254553070,5
1520088309104576796,7
1520088309153079837,1
1520088311558360768,6
1520088313153871674,4
1520088313653921442,2
1520088316852718312,7
1520088319104437253,5
1520088320804634424,4
1520088322204449261,4
1520088322252197917,0
1520088324355862795,5
1520088328354393375,9
1520088330703871766,6
1520088330754522291,0
1520088331254630248,2
1520088331303119268,0
1520088331804825950,2
1520088333154116312,4
1520088334401975131,3
1520088337100870092,6
1520088339551467498,6
1520088343102416033,8
1520088344150897732,3
1520088344601799811,2
1520088346451473927,5
1520088348305351647,5
1520088348353168468,0
1520088349703897430,4
1520088352404792922,6
1520088355503150869,7
1520088356656783975,3
1520088359251075321,6
1520088361602690533,6
1520088363352573322,4
1520088365302994673,5
1520088366851151297,4
1520088368150671389,4
1520088368200685877,1
1520088369952300919,4
1520088372901109104,7
1520088375302594735,6
1520088376000980935,2
1520088376101095427,1
1520088377003542135,3
1520088378201999441,3
1520088379252748561,3
1520088379953683193,2
1520088383704347477,8
1520088383752309625,0
1520088385554215064,5
1520088386805037640,3
1520088386854844644,0
1520088389204742457,6
1520088390703048777,4
1520088391754500316,3
1520088393553257191,5
1520088396753319263,7
1520088398105528514,4
1520088399404375328,4
1520088400001271074,2
1520088401803057185,5
1520088402852826120,3
1520088402902267145,1
1520088404655063359,4
1520088406552150606,5
1520088410054932800,8
1520088411004034021,3
1520088412750753066,4
1520088412850821095,1
1520088414103402271,3
1520088414353924212,1
1520088416754461013,6
1520088418753420718,5
1520088419503401851,2
1520088421851342758,6
1520088424153956469,6
1520088426505068806,6
1520088427902635462,4
1520088429453913403,4
